2026-04-26 13:28:55,001 | INFO | TConnector | ✅ TConnector инициализирован. Готов сосать... то есть, работать с Tinkoff API.
2026-04-26 15:23:24,192 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 253 свечей. Всего: 492
2026-04-26 15:23:24,522 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-26 15:23]: 255 свечей. Всего: 747
2026-04-26 15:23:24,862 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 264 свечей. Всего: 1011
2026-04-26 15:23:25,186 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 327 свечей. Всего: 1338
2026-04-26 15:23:25,388 | INFO | TConnector | ✅ Загрузка для PLZL завершена. Всего: 1338 свечей
2026-04-26 15:23:27,425 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:23:27,504 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 237 свечей. Всего: 237
2026-04-26 15:23:27,845 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 253 свечей. Всего: 490
2026-04-26 15:23:28,177 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-26 15:23]: 255 свечей. Всего: 745
2026-04-26 15:23:28,498 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 257 свечей. Всего: 1002
2026-04-26 15:23:28,810 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 331 свечей. Всего: 1333
2026-04-26 15:23:29,012 | INFO | TConnector | ✅ Загрузка для MSRS завершена. Всего: 1333 свечей
2026-04-26 15:23:30,947 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:23:31,059 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 237 свечей. Всего: 237
2026-04-26 15:23:31,387 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 253 свечей. Всего: 490
2026-04-26 15:23:31,843 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-26 15:23]: 255 свечей. Всего: 745
2026-04-26 15:23:32,195 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 257 свечей. Всего: 1002
2026-04-26 15:23:32,537 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 330 свечей. Всего: 1332
2026-04-26 15:23:32,738 | INFO | TConnector | ✅ Загрузка для MRKU завершена. Всего: 1332 свечей
2026-04-26 15:23:34,991 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:23:35,110 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 236 свечей. Всего: 236
2026-04-26 15:23:35,442 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 253 свечей. Всего: 489
2026-04-26 15:23:35,751 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-26 15:23]: 232 свечей. Всего: 721
2026-04-26 15:23:36,087 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 267 свечей. Всего: 988
2026-04-26 15:23:36,445 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 331 свечей. Всего: 1319
2026-04-26 15:23:36,646 | INFO | TConnector | ✅ Загрузка для VKCO завершена. Всего: 1319 свечей
2026-04-26 15:23:38,867 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:23:38,979 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 239 свечей. Всего: 239
2026-04-26 15:23:39,308 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 253 свечей. Всего: 492
2026-04-26 15:23:39,637 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-26 15:23]: 255 свечей. Всего: 747
2026-04-26 15:23:39,981 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 267 свечей. Всего: 1014
2026-04-26 15:23:40,315 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 331 свечей. Всего: 1345
2026-04-26 15:23:40,515 | INFO | TConnector | ✅ Загрузка для ROSN завершена. Всего: 1345 свечей
2026-04-26 15:23:42,738 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:23:42,813 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 237 свечей. Всего: 237
2026-04-26 15:23:43,117 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 253 свечей. Всего: 490
2026-04-26 15:23:43,435 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-26 15:23]: 255 свечей. Всего: 745
2026-04-26 15:23:43,715 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 259 свечей. Всего: 1004
2026-04-26 15:23:44,102 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 329 свечей. Всего: 1333
2026-04-26 15:23:44,305 | INFO | TConnector | ✅ Загрузка для BELU завершена. Всего: 1333 свечей
2026-04-26 15:23:46,423 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:23:46,540 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 239 свечей. Всего: 239
2026-04-26 15:23:46,826 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 253 свечей. Всего: 492
2026-04-26 15:23:47,137 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-26 15:23]: 255 свечей. Всего: 747
2026-04-26 15:23:47,454 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 267 свечей. Всего: 1014
2026-04-26 15:23:47,814 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 329 свечей. Всего: 1343
2026-04-26 15:23:48,015 | INFO | TConnector | ✅ Загрузка для IRAO завершена. Всего: 1343 свечей
2026-04-26 15:28:51,646 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:28:51,747 | INFO | TConnector | 📥 Кусок [04-27 15:28 - 04-27 15:28]: 239 свечей. Всего: 239
2026-04-26 15:28:52,087 | INFO | TConnector | 📥 Кусок [04-27 15:28 - 04-27 15:28]: 253 свечей. Всего: 492
2026-04-26 15:28:52,418 | INFO | TConnector | 📥 Кусок [04-27 15:28 - 04-26 15:28]: 255 свечей. Всего: 747
2026-04-26 15:28:52,729 | INFO | TConnector | 📥 Кусок [04-26 15:28 - 04-26 15:28]: 267 свечей. Всего: 1014
2026-04-26 15:28:53,036 | INFO | TConnector | 📥 Кусок [04-26 15:28 - 04-26 15:28]: 331 свечей. Всего: 1345
2026-04-26 15:28:53,237 | INFO | TConnector | ✅ Загрузка для SBER завершена. Всего: 1345 свечей
2026-04-26 15:28:55,243 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:28:55,325 | INFO | TConnector | 📥 Кусок [04-27 15:28 - 04-27 15:28]: 239 свечей. Всего: 239
2026-04-26 15:28:55,604 | INFO | TConnector | 📥 Кусок [04-27 15:28 - 04-27 15:28]: 253 свечей. Всего: 492
2026-04-26 15:28:55,891 | INFO | TConnector | 📥 Кусок [04-27 15:28 - 04-26 15:28]: 255 свечей. Всего: 747
2026-04-26 15:28:56,242 | INFO | TConnector | 📥 Кусок [04-26 15:28 - 04-26 15:28]: 267 свечей. Всего: 1014
2026-04-26 15:28:56,560 | INFO | TConnector | 📥 Кусок [04-26 15:28 - 04-26 15:28]: 331 свечей. Всего: 1345
2026-04-26 15:28:56,761 | INFO | TConnector | ✅ Загрузка для GAZP завершена. Всего: 1345 свечей
2026-04-26 15:28:58,712 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:28:58,834 | INFO | TConnector | 📥 Кусок [04-27 15:28 - 04-27 15:28]: 239 свечей. Всего: 239
2026-04-26 15:28:59,167 | INFO | TConnector | 📥 Кусок [04-27 15:28 - 04-27 15:28]: 253 свечей. Всего: 492
2026-04-26 15:28:59,484 | INFO | TConnector | 📥 Кусок [04-27 15:28 - 04-26 15:28]: 255 свечей. Всего: 747
2026-04-26 15:28:59,804 | INFO | TConnector | 📥 Кусок [04-26 15:28 - 04-26 15:28]: 267 свечей. Всего: 1014
2026-04-26 15:29:00,139 | INFO | TConnector | 📥 Кусок [04-26 15:28 - 04-26 15:28]: 331 свечей. Всего: 1345
2026-04-26 15:29:00,340 | INFO | TConnector | ✅ Загрузка для LKOH завершена. Всего: 1345 свечей
2026-04-26 15:29:02,422 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:29:02,509 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 239 свечей. Всего: 239
2026-04-26 15:29:02,792 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 253 свечей. Всего: 492
2026-04-26 15:29:03,083 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-26 15:29]: 255 свечей. Всего: 747
2026-04-26 15:29:03,413 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 263 свечей. Всего: 1010
2026-04-26 15:29:03,714 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 331 свечей. Всего: 1341
2026-04-26 15:29:03,915 | INFO | TConnector | ✅ Загрузка для VTBR завершена. Всего: 1341 свечей
2026-04-26 15:29:05,868 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:29:05,955 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 235 свечей. Всего: 235
2026-04-26 15:29:06,279 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 253 свечей. Всего: 488
2026-04-26 15:29:06,606 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-26 15:29]: 255 свечей. Всего: 743
2026-04-26 15:29:06,940 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 247 свечей. Всего: 990
2026-04-26 15:29:07,289 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 329 свечей. Всего: 1319
2026-04-26 15:29:07,490 | INFO | TConnector | ✅ Загрузка для MDMG завершена. Всего: 1319 свечей
2026-04-26 15:29:09,558 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
