min_pullback,hard_stop,cooldown_bars,std_pct_filter,period,0
0.01,0.05,4,0.030000000000000002,80,0.1829231707635243
0.01,0.05,4,0.030000000000000002,90,0.1829231707635243
0.01,0.05,4,0.035,10,0.6299709723537844
0.01,0.05,4,0.035,20,0.6299709723537844
0.01,0.05,4,0.035,30,0.6299709723537844
0.01,0.05,4,0.035,40,0.6299709723537844
0.01,0.05,4,0.035,50,0.6299709723537844
0.01,0.05,4,0.035,60,0.6299709723537844
0.01,0.05,4,0.035,70,0.6299709723537844
0.01,0.05,4,0.035,80,0.6299709723537844
0.01,0.05,4,0.035,90,0.6299709723537844
0.01,0.05,4,0.04000000000000001,10,2.750352242756493
0.01,0.05,4,0.04000000000000001,20,2.750352242756493
0.01,0.05,4,0.04000000000000001,30,2.750352242756493
0.01,0.05,4,0.04000000000000001,40,2.750352242756493
0.01,0.05,4,0.04000000000000001,50,2.750352242756493
0.01,0.05,4,0.04000000000000001,60,2.750352242756493
0.01,0.05,4,0.04000000000000001,70,2.750352242756493
0.01,0.05,4,0.04000000000000001,80,2.750352242756493
0.01,0.05,4,0.04000000000000001,90,2.750352242756493
0.01,0.05,4,0.045000000000000005,10,2.325934007296861
0.01,0.05,4,0.045000000000000005,20,2.325934007296861
0.01,0.05,4,0.045000000000000005,30,2.325934007296861
0.01,0.05,4,0.045000000000000005,40,2.325934007296861
0.01,0.05,4,0.045000000000000005,50,2.325934007296861
0.01,0.05,4,0.045000000000000005,60,2.325934007296861
0.01,0.05,4,0.045000000000000005,70,2.325934007296861
0.01,0.05,4,0.045000000000000005,80,2.325934007296861
0.01,0.05,4,0.045000000000000005,90,2.325934007296861
0.01,0.05,4,0.05,10,4.960415148526965
0.01,0.05,4,0.05,20,4.960415148526965
0.01,0.05,4,0.05,30,4.960415148526965
0.01,0.05,4,0.05,40,4.960415148526965
0.01,0.05,4,0.05,50,4.960415148526965
0.01,0.05,4,0.05,60,4.960415148526965
0.01,0.05,4,0.05,70,4.960415148526965
0.01,0.05,4,0.05,80,4.960415148526965
0.01,0.05,4,0.05,90,4.960415148526965
0.01,0.05,5,0.015,10,0.42090315977381515
0.01,0.05,5,0.015,20,0.42090315977381515
0.01,0.05,5,0.015,30,0.42090315977381515
0.01,0.05,5,0.015,40,0.42090315977381515
0.01,0.05,5,0.015,50,0.42090315977381515
0.01,0.05,5,0.015,60,0.42090315977381515
0.01,0.05,5,0.015,70,0.42090315977381515
0.01,0.05,5,0.015,80,0.42090315977381515
0.01,0.05,5,0.015,90,0.42090315977381515
0.01,0.05,5,0.02,10,0.7814580070505261
0.01,0.05,5,0.02,20,0.7814580070505261
0.01,0.05,5,0.02,30,0.7814580070505261
0.01,0.05,5,0.02,40,0.7814580070505261
0.01,0.05,5,0.02,50,0.7814580070505261
0.01,0.05,5,0.02,60,0.7814580070505261
0.01,0.05,5,0.02,70,0.7814580070505261
0.01,0.05,5,0.02,80,0.7814580070505261
0.01,0.05,5,0.02,90,0.7814580070505261
0.01,0.05,5,0.025,10,0.2657455361785551
0.01,0.05,5,0.025,20,0.2657455361785551
0.01,0.05,5,0.025,30,0.2657455361785551
0.01,0.05,5,0.025,40,0.2657455361785551
0.01,0.05,5,0.025,50,0.2657455361785551
0.01,0.05,5,0.025,60,0.2657455361785551
0.01,0.05,5,0.025,70,0.2657455361785551
0.01,0.05,5,0.025,80,0.2657455361785551
0.01,0.05,5,0.025,90,0.2657455361785551
0.01,0.05,5,0.030000000000000002,10,0.30913844870237184
0.01,0.05,5,0.030000000000000002,20,0.30913844870237184
0.01,0.05,5,0.030000000000000002,30,0.30913844870237184
0.01,0.05,5,0.030000000000000002,40,0.30913844870237184
0.01,0.05,5,0.030000000000000002,50,0.30913844870237184
0.01,0.05,5,0.030000000000000002,60,0.30913844870237184
0.01,0.05,5,0.030000000000000002,70,0.30913844870237184
0.01,0.05,5,0.030000000000000002,80,0.30913844870237184
0.01,0.05,5,0.030000000000000002,90,0.30913844870237184
0.01,0.05,5,0.035,10,0.8527057317460928
0.01,0.05,5,0.035,20,0.8527057317460928
0.01,0.05,5,0.035,30,0.8527057317460928
0.01,0.05,5,0.035,40,0.8527057317460928
0.01,0.05,5,0.035,50,0.8527057317460928
0.01,0.05,5,0.035,60,0.8527057317460928
0.01,0.05,5,0.035,70,0.8527057317460928
0.01,0.05,5,0.035,80,0.8527057317460928
0.01,0.05,5,0.035,90,0.8527057317460928
0.01,0.05,5,0.04000000000000001,10,3.5670080271751345
0.01,0.05,5,0.04000000000000001,20,3.5670080271751345
0.01,0.05,5,0.04000000000000001,30,3.5670080271751345
0.01,0.05,5,0.04000000000000001,40,3.5670080271751345
0.01,0.05,5,0.04000000000000001,50,3.5670080271751345
0.01,0.05,5,0.04000000000000001,60,3.5670080271751345
0.01,0.05,5,0.04000000000000001,70,3.5670080271751345
0.01,0.05,5,0.04000000000000001,80,3.5670080271751345
0.01,0.05,5,0.04000000000000001,90,3.5670080271751345
0.01,0.05,5,0.045000000000000005,10,3.4115149984157656
0.01,0.05,5,0.045000000000000005,20,3.4115149984157656
0.01,0.05,5,0.045000000000000005,30,3.4115149984157656
0.01,0.05,5,0.045000000000000005,40,3.4115149984157656
0.01,0.05,5,0.045000000000000005,50,3.4115149984157656
0.01,0.05,5,0.045000000000000005,60,3.4115149984157656
0.01,0.05,5,0.045000000000000005,70,3.4115149984157656
0.01,0.05,5,0.045000000000000005,80,3.4115149984157656
0.01,0.05,5,0.045000000000000005,90,3.4115149984157656
0.01,0.05,5,0.05,10,5.012081039804583
0.01,0.05,5,0.05,20,5.012081039804583
0.01,0.05,5,0.05,30,5.012081039804583
0.01,0.05,5,0.05,40,5.012081039804583
0.01,0.05,5,0.05,50,5.012081039804583
0.01,0.05,5,0.05,60,5.012081039804583
0.01,0.05,5,0.05,70,5.012081039804583
0.01,0.05,5,0.05,80,5.012081039804583
0.01,0.05,5,0.05,90,5.012081039804583
0.01,0.05,6,0.015,10,0.67102541069982
0.01,0.05,6,0.015,20,0.67102541069982
0.01,0.05,6,0.015,30,0.67102541069982
0.01,0.05,6,0.015,40,0.67102541069982
0.01,0.05,6,0.015,50,0.67102541069982
0.01,0.05,6,0.015,60,0.67102541069982
0.01,0.05,6,0.015,70,0.67102541069982
0.01,0.05,6,0.015,80,0.67102541069982
0.01,0.05,6,0.015,90,0.67102541069982
0.01,0.05,6,0.02,10,0.9149741487856949
0.01,0.05,6,0.02,20,0.9149741487856949
0.01,0.05,6,0.02,30,0.9149741487856949
0.01,0.05,6,0.02,40,0.9149741487856949
0.01,0.05,6,0.02,50,0.9149741487856949
0.01,0.05,6,0.02,60,0.9149741487856949
0.01,0.05,6,0.02,70,0.9149741487856949
0.01,0.05,6,0.02,80,0.9149741487856949
0.01,0.05,6,0.02,90,0.9149741487856949
0.01,0.05,6,0.025,10,0.39332815726243686
0.01,0.05,6,0.025,20,0.39332815726243686
0.01,0.05,6,0.025,30,0.39332815726243686
0.01,0.05,6,0.025,40,0.39332815726243686
0.01,0.05,6,0.025,50,0.39332815726243686
0.01,0.05,6,0.025,60,0.39332815726243686
0.01,0.05,6,0.025,70,0.39332815726243686
0.01,0.05,6,0.025,80,0.39332815726243686
0.01,0.05,6,0.025,90,0.39332815726243686
0.01,0.05,6,0.030000000000000002,10,0.4367249458947416
0.01,0.05,6,0.030000000000000002,20,0.4367249458947416
0.01,0.05,6,0.030000000000000002,30,0.4367249458947416
0.01,0.05,6,0.030000000000000002,40,0.4367249458947416
0.01,0.05,6,0.030000000000000002,50,0.4367249458947416
0.01,0.05,6,0.030000000000000002,60,0.4367249458947416
0.01,0.05,6,0.030000000000000002,70,0.4367249458947416
0.01,0.05,6,0.030000000000000002,80,0.4367249458947416
0.01,0.05,6,0.030000000000000002,90,0.4367249458947416
0.01,0.05,6,0.035,10,0.8561203145849499
0.01,0.05,6,0.035,20,0.8561203145849499
0.01,0.05,6,0.035,30,0.8561203145849499
0.01,0.05,6,0.035,40,0.8561203145849499
0.01,0.05,6,0.035,50,0.8561203145849499
0.01,0.05,6,0.035,60,0.8561203145849499
0.01,0.05,6,0.035,70,0.8561203145849499
0.01,0.05,6,0.035,80,0.8561203145849499
0.01,0.05,6,0.035,90,0.8561203145849499
0.01,0.05,6,0.04000000000000001,10,3.5899930273597964
0.01,0.05,6,0.04000000000000001,20,3.5899930273597964
0.01,0.05,6,0.04000000000000001,30,3.5899930273597964
0.01,0.05,6,0.04000000000000001,40,3.5899930273597964
0.01,0.05,6,0.04000000000000001,50,3.5899930273597964
0.01,0.05,6,0.04000000000000001,60,3.5899930273597964
0.01,0.05,6,0.04000000000000001,70,3.5899930273597964
0.01,0.05,6,0.04000000000000001,80,3.5899930273597964
0.01,0.05,6,0.04000000000000001,90,3.5899930273597964
0.01,0.05,6,0.045000000000000005,10,3.5118636017231717
0.01,0.05,6,0.045000000000000005,20,3.5118636017231717
0.01,0.05,6,0.045000000000000005,30,3.5118636017231717
0.01,0.05,6,0.045000000000000005,40,3.5118636017231717
0.01,0.05,6,0.045000000000000005,50,3.5118636017231717
0.01,0.05,6,0.045000000000000005,60,3.5118636017231717
0.01,0.05,6,0.045000000000000005,70,3.5118636017231717
0.01,0.05,6,0.045000000000000005,80,3.5118636017231717
0.01,0.05,6,0.045000000000000005,90,3.5118636017231717
0.01,0.05,6,0.05,10,4.98302606195243
0.01,0.05,6,0.05,20,4.98302606195243
0.01,0.05,6,0.05,30,4.98302606195243
0.01,0.05,6,0.05,40,4.98302606195243
0.01,0.05,6,0.05,50,4.98302606195243
0.01,0.05,6,0.05,60,4.98302606195243
0.01,0.05,6,0.05,70,4.98302606195243
0.01,0.05,6,0.05,80,4.98302606195243
0.01,0.05,6,0.05,90,4.98302606195243
0.01,0.05,7,0.015,10,-0.32259488399702185
0.01,0.05,7,0.015,20,-0.32259488399702185
0.01,0.05,7,0.015,30,-0.32259488399702185
0.01,0.05,7,0.015,40,-0.32259488399702185
0.01,0.05,7,0.015,50,-0.32259488399702185
0.01,0.05,7,0.015,60,-0.32259488399702185
0.01,0.05,7,0.015,70,-0.32259488399702185
0.01,0.05,7,0.015,80,-0.32259488399702185
0.01,0.05,7,0.015,90,-0.32259488399702185
0.01,0.05,7,0.02,10,-0.17938485422822142
0.01,0.05,7,0.02,20,-0.17938485422822142
0.01,0.05,7,0.02,30,-0.17938485422822142
0.01,0.05,7,0.02,40,-0.17938485422822142
0.01,0.05,7,0.02,50,-0.17938485422822142
0.01,0.05,7,0.02,60,-0.17938485422822142
0.01,0.05,7,0.02,70,-0.17938485422822142
0.01,0.05,7,0.02,80,-0.17938485422822142
0.01,0.05,7,0.02,90,-0.17938485422822142
0.01,0.05,7,0.025,10,-0.533005916750869
0.01,0.05,7,0.025,20,-0.533005916750869
0.01,0.05,7,0.025,30,-0.533005916750869
0.01,0.05,7,0.025,40,-0.533005916750869
0.01,0.05,7,0.025,50,-0.533005916750869
0.01,0.05,7,0.025,60,-0.533005916750869
0.01,0.05,7,0.025,70,-0.533005916750869
0.01,0.05,7,0.025,80,-0.533005916750869
0.01,0.05,7,0.025,90,-0.533005916750869
0.01,0.05,7,0.030000000000000002,10,-0.5073811134230158
0.01,0.05,7,0.030000000000000002,20,-0.5073811134230158
0.01,0.05,7,0.030000000000000002,30,-0.5073811134230158
0.01,0.05,7,0.030000000000000002,40,-0.5073811134230158
0.01,0.05,7,0.030000000000000002,50,-0.5073811134230158
0.01,0.05,7,0.030000000000000002,60,-0.5073811134230158
0.01,0.05,7,0.030000000000000002,70,-0.5073811134230158
0.01,0.05,7,0.030000000000000002,80,-0.5073811134230158
0.01,0.05,7,0.030000000000000002,90,-0.5073811134230158
0.01,0.05,7,0.035,10,-0.4568538250779467
0.01,0.05,7,0.035,20,-0.4568538250779467
0.01,0.05,7,0.035,30,-0.4568538250779467
0.01,0.05,7,0.035,40,-0.4568538250779467
0.01,0.05,7,0.035,50,-0.4568538250779467
0.01,0.05,7,0.035,60,-0.4568538250779467
0.01,0.05,7,0.035,70,-0.4568538250779467
0.01,0.05,7,0.035,80,-0.4568538250779467
0.01,0.05,7,0.035,90,-0.4568538250779467
0.01,0.05,7,0.04000000000000001,10,0.5862799354971298
0.01,0.05,7,0.04000000000000001,20,0.5862799354971298
0.01,0.05,7,0.04000000000000001,30,0.5862799354971298
0.01,0.05,7,0.04000000000000001,40,0.5862799354971298
0.01,0.05,7,0.04000000000000001,50,0.5862799354971298
0.01,0.05,7,0.04000000000000001,60,0.5862799354971298
